symbol,trade_date,close,adj_close,volume
2382.TW,2026-01-02,277,277,22740078
2382.TW,2026-01-05,278,278,25469229
2382.TW,2026-01-06,282,282,23580699
2382.TW,2026-01-07,282,282,18766287
2382.TW,2026-01-08,273,273,23946237
2382.TW,2026-01-09,283,283,49358199
2382.TW,2026-01-12,280.5,280.5,20628829
2382.TW,2026-01-13,279,279,16835517
2382.TW,2026-01-14,286,286,27756504
2382.TW,2026-01-15,283,283,15472828
2382.TW,2026-01-16,289.5,289.5,23531351
2382.TW,2026-01-19,282,282,15902921
2382.TW,2026-01-20,277.5,277.5,13458730
2382.TW,2026-01-21,275,275,14842272
2382.TW,2026-01-22,283,283,15748702
2382.TW,2026-01-23,280,280,12105528
2382.TW,2026-01-26,287,287,18267347
2382.TW,2026-01-27,287.5,287.5,11017049
2382.TW,2026-01-28,287,287,14966747
2382.TW,2026-01-29,283,283,10986703
2382.TW,2026-01-30,280,280,16968193
2382.TW,2026-02-02,273,273,16449715
2382.TW,2026-02-03,276.5,276.5,13650260
2382.TW,2026-02-04,278,278,9610602
2382.TW,2026-02-05,273,273,11297980
2382.TW,2026-02-06,279.5,279.5,18269366
2382.TW,2026-02-09,284,284,12411543
2382.TW,2026-02-10,285,285,15106626
2382.TW,2026-02-11,286,286,16235356
2382.TW,2026-02-23,283.5,283.5,20793859
2382.TW,2026-02-24,284,284,13327516
2382.TW,2026-02-25,297.5,297.5,48175085
2382.TW,2026-02-26,291.5,291.5,24333369
2382.TW,2026-03-02,301,301,43986426
2382.TW,2026-03-03,294.5,294.5,21602141
2382.TW,2026-03-04,281,281,31455993
2382.TW,2026-03-05,289.5,289.5,19504646
2382.TW,2026-03-06,289,289,12786246
2382.TW,2026-03-09,282,282,17989005
2382.TW,2026-03-10,282.5,282.5,16300354
2382.TW,2026-03-11,289,289,17823474
2382.TW,2026-03-12,288.5,288.5,14202639
2382.TW,2026-03-13,289,289,9844284
2382.TW,2026-03-16,289,289,14489156
2382.TW,2026-03-17,289,289,13889345
2382.TW,2026-03-18,293,293,18392851
2382.TW,2026-03-19,286.5,286.5,10174768
2382.TW,2026-03-20,283.5,283.5,13087791
2382.TW,2026-03-23,280,280,15239375
2382.TW,2026-03-24,281.5,281.5,10220480
2382.TW,2026-03-25,285,285,9141813
2382.TW,2026-03-26,287,287,11204685
2382.TW,2026-03-27,289,289,12806436
2382.TW,2026-03-30,281,281,17247411
2382.TW,2026-03-31,278.5,278.5,16654046
2382.TW,2026-04-01,290.5,290.5,18174983
2382.TW,2026-04-02,284.5,284.5,11027428
2382.TW,2026-04-07,289,289,8886237
2382.TW,2026-04-08,307.5,307.5,52427615
2382.TW,2026-04-09,313,313,45878717
2382.TW,2026-04-10,321.5,321.5,37845000
2382.TW,2026-04-13,319,319,16490167
2382.TW,2026-04-14,323,323,20044944
2382.TW,2026-04-15,308.5,308.5,33056704
2382.TW,2026-04-16,318.5,318.5,18097798
2382.TW,2026-04-17,323,323,19570331
2382.TW,2026-04-20,329,329,18863979
2382.TW,2026-04-21,340,340,23951645
2382.TW,2026-04-22,335,335,17860191
2382.TW,2026-04-23,322,322,26593810
2382.TW,2026-04-24,323,323,17980123
2382.TW,2026-04-27,325.5,325.5,16103840
2382.TW,2026-04-28,321,321,15525273
2382.TW,2026-04-29,322,322,11287573
2382.TW,2026-04-30,312.5,312.5,18159119
2382.TW,2026-05-04,318,318,17268695
2382.TW,2026-05-05,321,321,12107580
2382.TW,2026-05-06,346.5,346.5,43497194
2382.TW,2026-05-07,344,344,22762782
2382.TW,2026-05-08,340.5,340.5,16966541
2382.TW,2026-05-11,343.5,343.5,14155601
2382.TW,2026-05-12,340,340,12568332
2382.TW,2026-05-13,340.5,340.5,12934119
2382.TW,2026-05-14,334.5,334.5,21209485
2382.TW,2026-05-15,306,306,63955695
2382.TW,2026-05-18,300,300,30660872
2382.TW,2026-05-19,290,290,36459558
2382.TW,2026-05-20,290,290,35637724
2382.TW,2026-05-21,308,308,38439137
2382.TW,2026-05-22,316,316,35356329
2382.TW,2026-05-25,316.5,316.5,46072021
2382.TW,2026-05-26,316.5,316.5,45494325
2382.TW,2026-05-27,312,312,42843302
2382.TW,2026-05-28,308.5,308.5,42499117
2382.TW,2026-05-29,339,339,85801526
2382.TW,2026-06-01,372.5,372.5,74697985
2382.TW,2026-06-02,400.5,400.5,149304893
2382.TW,2026-06-03,417,417,107345095
2382.TW,2026-06-04,404,404,72350922
2382.TW,2026-06-05,390.5,390.5,67497439
2382.TW,2026-06-08,376.5,376.5,62364056
2382.TW,2026-06-09,375,375,49988953
2382.TW,2026-06-10,380.5,380.5,45360619
2382.TW,2026-06-11,370,370,47724251
2382.TW,2026-06-12,372,372,23898289
2382.TW,2026-06-15,370,370,21792529
2382.TW,2026-06-16,362.5,362.5,19438724
2382.TW,2026-06-17,374,374,19621163
2382.TW,2026-06-18,376,376,22067558
2382.TW,2026-06-22,380,380,18712055
2382.TW,2026-06-23,372.5,372.5,15629070
2382.TW,2026-06-24,365.5,365.5,4603646
