symbol,trade_date,close,adj_close,volume
3324.TWO,2026-01-02,1000,988.6635132,4329438
3324.TWO,2026-01-05,1005,993.6068115,1891782
3324.TWO,2026-01-06,1005,993.6068115,2092831
3324.TWO,2026-01-07,978,966.9129028,4727417
3324.TWO,2026-01-08,945,934.2869873,3693929
3324.TWO,2026-01-09,965,954.0603027,4207129
3324.TWO,2026-01-12,963,952.0829468,2285322
3324.TWO,2026-01-13,951,940.2189941,2307299
3324.TWO,2026-01-14,992,980.7542114,4767003
3324.TWO,2026-01-15,969,958.0149536,2933099
3324.TWO,2026-01-16,969,958.0149536,2156456
3324.TWO,2026-01-19,920,909.5704346,3360248
3324.TWO,2026-01-20,928,917.4797363,1375518
3324.TWO,2026-01-21,900,889.7971191,1974135
3324.TWO,2026-01-22,930,919.4570312,2461980
3324.TWO,2026-01-23,930,919.4570312,1435518
3324.TWO,2026-01-26,932,921.4343872,1974347
3324.TWO,2026-01-27,926,915.5023804,2104251
3324.TWO,2026-01-28,929,918.4683838,2199744
3324.TWO,2026-01-29,940,929.343689,2790321
3324.TWO,2026-01-30,910,899.6837769,2676865
3324.TWO,2026-02-02,938,927.366333,4122386
3324.TWO,2026-02-03,1005,993.6068115,8522798
3324.TWO,2026-02-04,1015,1003.493469,4398167
3324.TWO,2026-02-05,1000,988.6635132,7493347
3324.TWO,2026-02-06,1030,1018.323425,6908518
3324.TWO,2026-02-09,1105,1092.473145,7218155
3324.TWO,2026-02-10,1080,1067.756592,5771267
3324.TWO,2026-02-11,1065,1052.926636,3018456
3324.TWO,2026-02-23,1015,1003.493469,5176015
3324.TWO,2026-02-24,1050,1038.09668,4280910
3324.TWO,2026-02-25,1155,1141.906372,5678054
3324.TWO,2026-02-26,1155,1141.906372,8761712
3324.TWO,2026-03-02,1130,1117.189697,4521204
3324.TWO,2026-03-03,1080,1067.756592,7919231
3324.TWO,2026-03-04,972,960.980896,7220689
3324.TWO,2026-03-05,978,966.9129028,6788273
3324.TWO,2026-03-06,989,977.788208,4874299
3324.TWO,2026-03-09,894,883.8651733,4523699
3324.TWO,2026-03-10,938,927.366333,4882861
3324.TWO,2026-03-11,1030,1018.323425,7065601
3324.TWO,2026-03-12,1050,1038.09668,7614870
3324.TWO,2026-03-13,1055,1043.040039,4222382
3324.TWO,2026-03-16,1035,1023.266724,2630144
3324.TWO,2026-03-17,1050,1038.09668,3508974
3324.TWO,2026-03-18,1030,1018.323425,4387832
3324.TWO,2026-03-19,1070,1057.869995,7210813
3324.TWO,2026-03-20,1065,1052.926636,4347308
3324.TWO,2026-03-23,1005,993.6068115,3598391
3324.TWO,2026-03-24,1005,993.6068115,4093829
3324.TWO,2026-03-25,1035,1023.266724,4347021
3324.TWO,2026-03-26,985,973.8335571,8317660
3324.TWO,2026-03-27,993,981.7428589,4666599
3324.TWO,2026-03-30,956,945.1622925,3460064
3324.TWO,2026-03-31,879,869.0352173,6010270
3324.TWO,2026-04-01,920,909.5704346,3235996
3324.TWO,2026-04-02,910,899.6837769,2637795
3324.TWO,2026-04-07,918,907.5930786,3028483
3324.TWO,2026-04-08,1005,993.6068115,5494550
3324.TWO,2026-04-09,989,977.788208,4421668
3324.TWO,2026-04-10,990,978.7768555,4127720
3324.TWO,2026-04-13,940,929.343689,5870319
3324.TWO,2026-04-14,965,954.0603027,4482986
3324.TWO,2026-04-15,972,960.980896,2951201
3324.TWO,2026-04-16,1045,1033.15332,9423484
3324.TWO,2026-04-17,1035,1023.266724,5000778
3324.TWO,2026-04-20,1040,1028.210083,3709482
3324.TWO,2026-04-21,1050,1038.09668,4318891
3324.TWO,2026-04-22,1155,1141.906372,9393995
3324.TWO,2026-04-23,1105,1092.473145,11239399
3324.TWO,2026-04-24,1215,1201.226196,9014642
3324.TWO,2026-04-27,1180,1166.622925,9045957
3324.TWO,2026-04-28,1145,1132.019653,4823479
3324.TWO,2026-04-29,1160,1146.849609,3012896
3324.TWO,2026-04-30,1140,1127.076416,2915128
3324.TWO,2026-05-04,1190,1176.509521,4151077
3324.TWO,2026-05-05,1170,1156.736328,3169337
3324.TWO,2026-05-06,1105,1092.473145,5888995
3324.TWO,2026-05-07,1070,1057.869995,4438121
3324.TWO,2026-05-08,1065,1052.926636,3945052
3324.TWO,2026-05-11,1070,1057.869995,3215808
3324.TWO,2026-05-12,1060,1047.983276,2660457
3324.TWO,2026-05-13,1065,1052.926636,1814513
3324.TWO,2026-05-14,1015,1003.493469,3926764
3324.TWO,2026-05-15,995,983.7201538,2508793
3324.TWO,2026-05-18,982,970.8675537,2649143
3324.TWO,2026-05-19,966,955.0489502,2419532
3324.TWO,2026-05-20,939,928.3550415,2750797
3324.TWO,2026-05-21,1000,988.6635132,2498570
3324.TWO,2026-05-22,1010,998.5501099,3440993
3324.TWO,2026-05-25,1010,998.5501099,2083219
3324.TWO,2026-05-26,1040,1028.210083,2587726
3324.TWO,2026-05-27,1035,1023.266724,2630632
3324.TWO,2026-05-28,1005,993.6068115,2963691
3324.TWO,2026-05-29,1065,1052.926636,2697003
3324.TWO,2026-06-01,1145,1132.019653,5629539
3324.TWO,2026-06-02,1165,1151.792969,6771272
3324.TWO,2026-06-03,1280,1265.489258,8538836
3324.TWO,2026-06-04,1185,1171.566284,6551238
3324.TWO,2026-06-05,1110,1097.416504,4172133
3324.TWO,2026-06-08,1095,1082.586548,3246575
3324.TWO,2026-06-09,1110,1097.416504,3881363
3324.TWO,2026-06-10,1010,998.5501099,3758021
3324.TWO,2026-06-11,998,986.6861572,2974061
3324.TWO,2026-06-12,1055,1043.040039,2093992
3324.TWO,2026-06-15,1055,1043.040039,1875702
3324.TWO,2026-06-16,1050,1038.09668,1192463
3324.TWO,2026-06-17,1050,1050,1358238
3324.TWO,2026-06-18,1070,1070,1321440
3324.TWO,2026-06-22,1075,1075,2137757
3324.TWO,2026-06-23,1025,1025,2181320
3324.TWO,2026-06-24,1020,1020,856628
