symbol,trade_date,close,adj_close,volume
OKTA,2026-01-02,83.63999939,83.63999939,2134300
OKTA,2026-01-05,87.70999908,87.70999908,3634000
OKTA,2026-01-06,90.36000061,90.36000061,2022600
OKTA,2026-01-07,93.83999634,93.83999634,2956900
OKTA,2026-01-08,93.93000031,93.93000031,2012400
OKTA,2026-01-09,92.23000336,92.23000336,1821700
OKTA,2026-01-12,93.56999969,93.56999969,2714900
OKTA,2026-01-13,94.06999969,94.06999969,4359700
OKTA,2026-01-14,93.34999847,93.34999847,3231800
OKTA,2026-01-15,91.94000244,91.94000244,3402400
OKTA,2026-01-16,89.55000305,89.55000305,3110100
OKTA,2026-01-20,87.70999908,87.70999908,2545200
OKTA,2026-01-21,88.94000244,88.94000244,2227900
OKTA,2026-01-22,91.45999908,91.45999908,1814000
OKTA,2026-01-23,90.76000214,90.76000214,1304700
OKTA,2026-01-26,91.29000092,91.29000092,2394300
OKTA,2026-01-27,91.45999908,91.45999908,1982000
OKTA,2026-01-28,90.73999786,90.73999786,1485300
OKTA,2026-01-29,85.69000244,85.69000244,3773400
OKTA,2026-01-30,84.48000336,84.48000336,2709200
OKTA,2026-02-02,88.12999725,88.12999725,3087800
OKTA,2026-02-03,82.30999756,82.30999756,3585900
OKTA,2026-02-04,83.41999817,83.41999817,2986400
OKTA,2026-02-05,82.15000153,82.15000153,2882300
OKTA,2026-02-06,86.73999786,86.73999786,3303600
OKTA,2026-02-09,88.18000031,88.18000031,3275200
OKTA,2026-02-10,88.44999695,88.44999695,1733800
OKTA,2026-02-11,88.18000031,88.18000031,2512300
OKTA,2026-02-12,84.91000366,84.91000366,2616000
OKTA,2026-02-13,87.26000214,87.26000214,2289500
OKTA,2026-02-17,82.45999908,82.45999908,2870400
OKTA,2026-02-18,82.93000031,82.93000031,2773000
OKTA,2026-02-19,81.80000305,81.80000305,2202600
OKTA,2026-02-20,74.29000092,74.29000092,6074100
OKTA,2026-02-23,69.51000214,69.51000214,4773800
OKTA,2026-02-24,71.13999939,71.13999939,3955900
OKTA,2026-02-25,73.00499725,73.00499725,4326600
OKTA,2026-02-26,75.25,75.25,4405200
OKTA,2026-02-27,72.5,72.5,4694800
OKTA,2026-03-02,73.97000122,73.97000122,3467700
OKTA,2026-03-03,72.51999664,72.51999664,4096500
OKTA,2026-03-04,71.73999786,71.73999786,6862400
OKTA,2026-03-05,79.65000153,79.65000153,8969600
OKTA,2026-03-06,80.72000122,80.72000122,4563500
