episode_id,title,chunk_index,chunk_path,chunk_bytes,split_seconds,chunk_status,created_at,notes
ep_20260502_658,EP658 | 🪿,0,data/raw/audio_chunks/ep_20260502_658_000.mp3,14785660,900,ready,2026-06-16T03:32:38+00:00,local chunk file is gitignored
ep_20260502_658,EP658 | 🪿,1,data/raw/audio_chunks/ep_20260502_658_001.mp3,15078572,900,ready,2026-06-16T03:32:38+00:00,local chunk file is gitignored
ep_20260502_658,EP658 | 🪿,2,data/raw/audio_chunks/ep_20260502_658_002.mp3,15037703,900,ready,2026-06-16T03:32:38+00:00,local chunk file is gitignored
ep_20260502_658,EP658 | 🪿,3,data/raw/audio_chunks/ep_20260502_658_003.mp3,4952088,900,ready,2026-06-16T03:32:38+00:00,local chunk file is gitignored
ep_20260506_659,EP659 | 🦤,0,data/raw/audio_chunks/ep_20260506_659_000.mp3,14300621,900,ready,2026-06-16T03:30:39+00:00,local chunk file is gitignored
ep_20260506_659,EP659 | 🦤,1,data/raw/audio_chunks/ep_20260506_659_001.mp3,14281417,900,ready,2026-06-16T03:30:39+00:00,local chunk file is gitignored
ep_20260506_659,EP659 | 🦤,2,data/raw/audio_chunks/ep_20260506_659_002.mp3,14216020,900,ready,2026-06-16T03:30:39+00:00,local chunk file is gitignored
ep_20260506_659,EP659 | 🦤,3,data/raw/audio_chunks/ep_20260506_659_003.mp3,6339496,900,ready,2026-06-16T03:30:39+00:00,local chunk file is gitignored
ep_20260509_660,EP660 | 🍄‍🟫,0,data/raw/audio_chunks/ep_20260509_660_000.mp3,15297776,900,ready,2026-06-16T03:28:29+00:00,local chunk file is gitignored
ep_20260509_660,EP660 | 🍄‍🟫,1,data/raw/audio_chunks/ep_20260509_660_001.mp3,15281694,900,ready,2026-06-16T03:28:29+00:00,local chunk file is gitignored
ep_20260509_660,EP660 | 🍄‍🟫,2,data/raw/audio_chunks/ep_20260509_660_002.mp3,15003968,900,ready,2026-06-16T03:28:29+00:00,local chunk file is gitignored
ep_20260509_660,EP660 | 🍄‍🟫,3,data/raw/audio_chunks/ep_20260509_660_003.mp3,6622704,900,ready,2026-06-16T03:28:29+00:00,local chunk file is gitignored
ep_20260513_661,EP661 | 🚲,0,data/raw/audio_chunks/ep_20260513_661_000.mp3,14933430,900,ready,2026-06-16T03:25:42+00:00,local chunk file is gitignored
ep_20260513_661,EP661 | 🚲,1,data/raw/audio_chunks/ep_20260513_661_001.mp3,14780441,900,ready,2026-06-16T03:25:42+00:00,local chunk file is gitignored
ep_20260513_661,EP661 | 🚲,2,data/raw/audio_chunks/ep_20260513_661_002.mp3,14782153,900,ready,2026-06-16T03:25:42+00:00,local chunk file is gitignored
