concept_name,concept_issue,directional_mention_count,active_proxy_count,active_weight_total,return_status_counts,proxy_id,ticker,market,name,weight,benchmark_market,is_active,current_notes,review_decision,corrected_weight,corrected_benchmark_market,corrected_is_active,replacement_ticker,replacement_market,replacement_name,review_comment
AI PC,ok,1,4,1,pending_price:1,concept_ai_pc_2317,2317,TWSE,鴻海,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI PC,ok,1,4,1,pending_price:1,concept_ai_pc_2356,2356,TWSE,英業達,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI PC,ok,1,4,1,pending_price:1,concept_ai_pc_2382,2382,TWSE,廣達,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI PC,ok,1,4,1,pending_price:1,concept_ai_pc_3231,3231,TWSE,緯創,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI Server,proxy_defined_before_mentions,0,4,1,,concept_ai_server_2317,2317,TWSE,鴻海,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI Server,proxy_defined_before_mentions,0,4,1,,concept_ai_server_2382,2382,TWSE,廣達,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI Server,proxy_defined_before_mentions,0,4,1,,concept_ai_server_3231,3231,TWSE,緯創,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI Server,proxy_defined_before_mentions,0,4,1,,concept_ai_server_6669,6669,TWSE,緯穎,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_crm,CRM,US,Salesforce,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_crwd,CRWD,US,CrowdStrike,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
